Date,Actual_Return,HS_VaR,HS_ES,Normal_VaR,Normal_ES,StudentT_VaR,StudentT_ES,GARCH_VaR,GARCH_ES
2017-02-02,0.0031378500912673684,-0.025244897401177642,-0.027300103842481244,-0.02153816569595535,-0.02491016660595626,-0.02673498192744237,-0.03946288965839445,-0.024635890707301416,-0.028521498346533232
2017-02-03,-0.0038635173872020594,-0.025244897401177642,-0.027300103842481244,-0.021387038267673086,-0.024748834466779526,-0.026882754530367075,-0.0403609019998798,-0.017519484317814065,-0.02038689187838901
2017-02-06,0.005478954130890046,-0.025380661369824684,-0.027300103842481244,-0.021642856357728526,-0.025016264374145274,-0.027453225644249728,-0.04153487021203578,-0.016810041723266216,-0.01954288709823561
2017-02-07,0.008576208115010694,-0.025312779385501163,-0.027300103842481244,-0.021533200947213706,-0.02489521762826742,-0.02728351048881021,-0.04131015872536385,-0.014841908248830579,-0.017290552773450447
2017-02-08,0.0004424093840833226,-0.025244897401177642,-0.027300103842481244,-0.021431828063172106,-0.024787140169499296,-0.026938678200865533,-0.04046995924724227,-0.016155924738119623,-0.018804614441436454
2017-02-09,0.0012728447627422114,-0.025244897401177642,-0.027300103842481244,-0.021450895759230343,-0.0248061506907085,-0.027004481720034557,-0.040602858411923105,-0.013901405507349997,-0.016222810339484414
2017-02-10,-0.0009652819054404831,-0.025244897401177642,-0.027300103842481244,-0.021457030215124757,-0.024812265498360648,-0.027026867523357964,-0.040649311724424084,-0.012810570013108995,-0.01497394323138467
2017-02-13,-0.001266904589782627,-0.025380661369824684,-0.027300103842481244,-0.021656359749286445,-0.025030768363898986,-0.02755280626886901,-0.04176631634552033,-0.013220323281893,-0.015430860288361915
2017-02-14,0.004282458320434718,-0.025312779385501163,-0.027300103842481244,-0.02159271675941321,-0.02495464541657846,-0.027624993775954523,-0.04214123187786354,-0.013313468880472626,-0.015530305170183502
2017-02-15,0.0029794512387859217,-0.025244897401177642,-0.027300103842481244,-0.021486178204804997,-0.024835794008410957,-0.027535408851418905,-0.04216926252670072,-0.012863323723038316,-0.01501519451864886
2017-02-16,-0.0019027204535674684,-0.025244897401177642,-0.027300103842481244,-0.021473831031875022,-0.02482372186437621,-0.027457675421928642,-0.041971239553471346,-0.012176927624190257,-0.014236210183873553
2017-02-17,0.00103046056449509,-0.025244897401177642,-0.027300103842481244,-0.021415210454808976,-0.024760416986691427,-0.02762728746224654,-0.04269443348828615,-0.013093563817039664,-0.015289728689577314
2017-02-21,0.009111022622992208,-0.025380661369824684,-0.027300103842481244,-0.021504904767928865,-0.024871366669294535,-0.02771940384796949,-0.042801618361956145,-0.012277687351932978,-0.014370909504604647
2017-02-22,0.0009762053908093981,-0.025312779385501163,-0.027300103842481244,-0.02140520092936239,-0.02476581564961933,-0.027312368623268288,-0.04173195989889308,-0.015666120743024366,-0.018265229651916272
2017-02-23,-0.016531213686689937,-0.025312779385501163,-0.027300103842481244,-0.021388425536216442,-0.024748407150931927,-0.027326744773239542,-0.041840632085165017,-0.013149707474483147,-0.015390132030539431
2017-02-24,-0.0005065100820473732,-0.025312779385501163,-0.027300103842481244,-0.021849808438645008,-0.025254018741469132,-0.027608187339389505,-0.04163467389328395,-0.0304959404335372,-0.03523686583627554
2017-02-27,0.003329307479401059,-0.025448543354148204,-0.027300103842481244,-0.021898527313404588,-0.025320102368235665,-0.02776385924064932,-0.04204811296660103,-0.020800007343813483,-0.0241441959644012
2017-02-28,-0.006572073146535613,-0.025380661369824684,-0.027300103842481244,-0.021792509110403497,-0.02520066687770543,-0.02778549386812992,-0.04241897508328589,-0.01619885812385991,-0.018871668566600087
2017-03-01,0.013848477270661018,-0.025516425338471725,-0.027300103842481244,-0.021978488811672116,-0.025415569963896982,-0.0276394446722351,-0.0414948882255272,-0.01892070430832206,-0.021993684488805586
2017-03-02,-0.013128315999044161,-0.025516425338471725,-0.027300103842481244,-0.022034292199304903,-0.025486968342964638,-0.027527890203315433,-0.040864595685610405,-0.022496280934002428,-0.026095305559953375
2017-03-03,0.000237448273543887,-0.025516425338471725,-0.027300103842481244,-0.022357135563824838,-0.025839286314298125,-0.02739287606474787,-0.03969546900392903,-0.02750800431447114,-0.031820386598824135
2017-03-06,-0.002375162290066915,-0.025448543354148204,-0.027300103842481244,-0.022271906008518597,-0.025740102146874964,-0.027485709064813096,-0.04016425070412954,-0.020015222226001272,-0.023232320705032304
