Date,Actual_Return,HS_VaR_90,HS_VaR_95,HS_VaR_99,Normal_VaR_90,Normal_VaR_95,Normal_VaR_99,StudentT_VaR_90,StudentT_VaR_95,StudentT_VaR_99,GARCH_VaR_90,GARCH_VaR_95,GARCH_VaR_99
2020-02-05,0.010735953636928,-0.01166622806672494,-0.016463810864243218,-0.03723777360137936,-0.01324344032623729,-0.01755792051995359,-0.025651167829953764,-0.010919146333661787,-0.015987623076488485,-0.029068017756769187,-0.008385393617160543,-0.011428383606000823,-0.017136526750893992
2020-02-06,0.0123774994618697,-0.010982566009109202,-0.016085537914663224,-0.03038027307074574,-0.011867870042391942,-0.015916120999722966,-0.023509966538368017,-0.010496362016492556,-0.015060224781451597,-0.02576291053820455,-0.008193338442267849,-0.011234087833332167,-0.0169380279894274
2020-02-07,-0.0029679966386884,-0.010982566009109202,-0.016085537914663224,-0.03038027307074574,-0.011867875685042982,-0.01591613856770473,-0.02351000647628693,-0.010496379374539348,-0.01506023629806805,-0.025762833219714135,-0.00815276961326657,-0.011202473176724875,-0.016923209871078985
2020-02-10,0.0211901971168087,-0.0106498994714572,-0.01508144009456091,-0.03055120289501119,-0.011683128048887173,-0.015659594295884482,-0.023118783656329057,-0.010241110074071287,-0.014744667972334563,-0.025440651181535014,-0.008207818870258106,-0.011254201203629697,-0.01696870782268891
2020-02-11,-0.0012847966263076,-0.01064986874133805,-0.014979012603778664,-0.030465737982878466,-0.011642054784419379,-0.01564927943210447,-0.02316616643686523,-0.010271900405591077,-0.014787130331054018,-0.02539544457127984,-0.008998665487724237,-0.01229360769524174,-0.018474371300654772
2020-02-12,0.0106538074619688,-0.010649838011218899,-0.014876585112996417,-0.03038027307074574,-0.01162215433788805,-0.01561530373844634,-0.02310578792042616,-0.010252972411595278,-0.014761159154309294,-0.02539300595345307,-0.008321402986142881,-0.01143758645507727,-0.017283028395951458
2020-02-13,-0.005611857230809,-0.01061699317724272,-0.014876585112996417,-0.03038027307074574,-0.011355948384094119,-0.015326239598470853,-0.02277384562467776,-0.009910813455156955,-0.01441283873432338,-0.02514029680899927,-0.008195484103627878,-0.011308917877639314,-0.017149201848134843
2020-02-14,0.0083053193079054,-0.01061699317724272,-0.014876585112996417,-0.03038027307074574,-0.011395307112795275,-0.015309090953870789,-0.022650698545403834,-0.009930866015892882,-0.014362416241019138,-0.024915018850154933,-0.00835793101281781,-0.011476788644777544,-0.01732724687075206
2020-02-18,0.0045920103712026,-0.01058515063621788,-0.013207815522203393,-0.022816039154751368,-0.010519109378555803,-0.014233807804843663,-0.02120196426777097,-0.009445527107196686,-0.013536078916635746,-0.022774746815110533,-0.008257027446952562,-0.01137144093326111,-0.017213562681091837
2020-02-19,0.0142358091239351,-0.0105826436532116,-0.013149119342242993,-0.02276437955399417,-0.010452669479986139,-0.014153049737675071,-0.021094347697539557,-0.009351776941003146,-0.013437929299341313,-0.022717197332520193,-0.008151914666656913,-0.011243029940415199,-0.017041448116185295
